dataset,protocol_id,information_end_date,execution_date,target_end_date,reason
DJIA30_2026,nextclose_t1_t6_stride5_v2_20260905,2009-01-23,,,insufficient_context
DJIA30_2026,nextclose_t1_t6_stride5_v2_20260905,2020-12-30,2020-12-31,2021-01-08,crosses_split_boundary_or_outside_protocol
DJIA30_2026,nextclose_t1_t6_stride5_v2_20260905,2023-12-22,2023-12-26,2024-01-03,crosses_split_boundary_or_outside_protocol
DJIA30_2026,nextclose_t1_t6_stride5_v2_20260905,2025-12-30,,,insufficient_context
SP500_TOP50_EX_PLTR_2026,nextclose_t1_t6_stride5_v2_20260905,2013-01-23,,,insufficient_context
SP500_TOP50_EX_PLTR_2026,nextclose_t1_t6_stride5_v2_20260905,2020-12-23,2020-12-24,2021-01-04,crosses_split_boundary_or_outside_protocol
SP500_TOP50_EX_PLTR_2026,nextclose_t1_t6_stride5_v2_20260905,2023-12-26,2023-12-27,2024-01-04,crosses_split_boundary_or_outside_protocol
SP500_TOP50_EX_PLTR_2026,nextclose_t1_t6_stride5_v2_20260905,2025-12-23,,,insufficient_context
SP500_TOP50_EX_PLTR_2026,nextclose_t1_t6_stride5_v2_20260905,2025-12-31,,,insufficient_context
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,nextclose_t1_t6_stride5_v2_20260905,2009-02-02,,,insufficient_context
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,nextclose_t1_t6_stride5_v2_20260905,2020-12-24,2020-12-25,2021-01-04,crosses_split_boundary_or_outside_protocol
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,nextclose_t1_t6_stride5_v2_20260905,2023-12-26,2023-12-27,2024-01-04,crosses_split_boundary_or_outside_protocol
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,nextclose_t1_t6_stride5_v2_20260905,2025-12-29,,,insufficient_context
