dataset,sample_id,protocol_id,split_protocol_id,calendar_id,universe_id,preprocessing_id,archived_split,analysis_split,feature_start_date,normalization_basis_date,feature_end_date,data_available_time,decision_cutoff,entry_date,target_end_date,label_available_time,target_definition,included,exclusion_reason
DJIA30_2026,DJIA30_2026:outer_train:000000,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-01-09,2009-01-08,2009-01-30,2009-01-30 close (daily-bar assumption),after 2009-01-30 close,2009-02-02,2009-02-09,2009-02-09 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000001,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-01-16,2009-01-15,2009-02-06,2009-02-06 close (daily-bar assumption),after 2009-02-06 close,2009-02-09,2009-02-17,2009-02-17 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000002,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-01-26,2009-01-23,2009-02-13,2009-02-13 close (daily-bar assumption),after 2009-02-13 close,2009-02-17,2009-02-24,2009-02-24 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000003,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-02-02,2009-01-30,2009-02-23,2009-02-23 close (daily-bar assumption),after 2009-02-23 close,2009-02-24,2009-03-03,2009-03-03 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000004,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-02-09,2009-02-06,2009-03-02,2009-03-02 close (daily-bar assumption),after 2009-03-02 close,2009-03-03,2009-03-10,2009-03-10 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000005,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-02-17,2009-02-13,2009-03-09,2009-03-09 close (daily-bar assumption),after 2009-03-09 close,2009-03-10,2009-03-17,2009-03-17 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000006,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-02-24,2009-02-23,2009-03-16,2009-03-16 close (daily-bar assumption),after 2009-03-16 close,2009-03-17,2009-03-24,2009-03-24 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000007,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-03-03,2009-03-02,2009-03-23,2009-03-23 close (daily-bar assumption),after 2009-03-23 close,2009-03-24,2009-03-31,2009-03-31 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000008,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-03-10,2009-03-09,2009-03-30,2009-03-30 close (daily-bar assumption),after 2009-03-30 close,2009-03-31,2009-04-07,2009-04-07 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000009,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-03-17,2009-03-16,2009-04-06,2009-04-06 close (daily-bar assumption),after 2009-04-06 close,2009-04-07,2009-04-15,2009-04-15 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000010,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-03-24,2009-03-23,2009-04-14,2009-04-14 close (daily-bar assumption),after 2009-04-14 close,2009-04-15,2009-04-22,2009-04-22 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000011,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-03-31,2009-03-30,2009-04-21,2009-04-21 close (daily-bar assumption),after 2009-04-21 close,2009-04-22,2009-04-29,2009-04-29 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
DJIA30_2026,DJIA30_2026:outer_train:000012,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,fe19d255f502861d499f679870d5b6f01212fe2f889f404ca2b944e742858905,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,f5d484c11758a8783f87628c4576c5c06d97ce97f0d40aa432419b0aa2d8bb73,outer_train,inner_train,2009-04-07,2009-04-06,2009-04-28,2009-04-28 close (daily-bar assumption),after 2009-04-28 close,2009-04-29,2009-05-06,2009-05-06 close (daily-bar assumption),adjusted_close[t+6] / adjusted_close[t+1],True,
