dataset,universe_id,symbol,asset_order,sector_index,sector_label,sector_label_source
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,AMZN,0,0,Consumer & Retail,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,KO,1,0,Consumer & Retail,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,HD,2,0,Consumer & Retail,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,MCD,3,0,Consumer & Retail,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,NKE,4,0,Consumer & Retail,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,PG,5,0,Consumer & Retail,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,WMT,6,0,Consumer & Retail,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,AXP,7,1,Financials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,GS,8,1,Financials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,JPM,9,1,Financials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,TRV,10,1,Financials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,V,11,1,Financials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,AMGN,12,2,Health Care,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,JNJ,13,2,Health Care,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,MRK,14,2,Health Care,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,UNH,15,2,Health Care,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,MMM,16,3,Industrials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,BA,17,3,Industrials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,CAT,18,3,Industrials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,CVX,19,3,Industrials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,SHW,20,3,Industrials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,HON,21,3,Industrials,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,AAPL,22,4,Technology,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,CSCO,23,4,Technology,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,DIS,24,4,Technology,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,IBM,25,4,Technology,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,NVDA,26,4,Technology,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,MSFT,27,4,Technology,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,CRM,28,4,Technology,order.csv Broad Sector
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,VZ,29,4,Technology,order.csv Broad Sector
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,AMZN,0,0,Consumer & Retail,archived order.csv index with documented broad-group mapping
