dataset,analysis_split,n_samples,feature_start_first,feature_end_first,feature_end_last,entry_first,entry_last,target_end_first,target_end_last
DJIA30_2026,inner_train,539,2009-01-09,2009-01-30,2019-10-08,2009-02-02,2019-10-09,2009-02-09,2019-10-16
DJIA30_2026,purged_inner_boundary,1,2019-09-25,2019-10-15,2019-10-15,2019-10-16,2019-10-16,2019-10-23,2019-10-23
DJIA30_2026,inner_validation,60,2019-10-02,2019-10-22,2020-12-22,2019-10-23,2020-12-23,2019-10-30,2020-12-31
DJIA30_2026,outer_validation,149,2020-12-16,2021-01-07,2023-12-15,2021-01-08,2023-12-18,2021-01-15,2023-12-26
DJIA30_2026,final_test,100,2023-12-11,2024-01-02,2025-12-22,2024-01-03,2025-12-23,2024-01-10,2025-12-31
SP500_TOP50_EX_PLTR_2026,inner_train,357,2013-01-09,2013-01-30,2020-02-26,2013-01-31,2020-02-27,2013-02-07,2020-03-05
SP500_TOP50_EX_PLTR_2026,purged_inner_boundary,1,2020-02-12,2020-03-04,2020-03-04,2020-03-05,2020-03-05,2020-03-12,2020-03-12
SP500_TOP50_EX_PLTR_2026,inner_validation,40,2020-02-20,2020-03-11,2020-12-16,2020-03-12,2020-12-17,2020-03-19,2020-12-24
SP500_TOP50_EX_PLTR_2026,outer_validation,150,2020-12-10,2020-12-31,2023-12-18,2021-01-04,2023-12-19,2021-01-11,2023-12-27
SP500_TOP50_EX_PLTR_2026,final_test,99,2023-12-12,2024-01-03,2025-12-16,2024-01-04,2025-12-17,2024-01-11,2025-12-24
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,inner_train,525,2009-01-09,2009-02-09,2019-09-26,2009-02-10,2019-09-27,2009-02-17,2019-10-07
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,purged_inner_boundary,1,2019-09-12,2019-10-04,2019-10-04,2019-10-07,2019-10-07,2019-10-16,2019-10-16
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,inner_validation,59,2019-09-20,2019-10-15,2020-12-17,2019-10-16,2020-12-18,2019-10-23,2020-12-25
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,outer_validation,145,2020-12-11,2020-12-31,2023-12-19,2021-01-04,2023-12-20,2021-01-11,2023-12-27
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,final_test,96,2023-12-13,2024-01-03,2025-12-19,2024-01-04,2025-12-22,2024-01-11,2025-12-30
