dataset,method,category,scope,seed,n_decisions,fee,annualization_factor,protocol_id,split_protocol_id,accounting_protocol_id,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,1,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.257757832073851,0.5074863493224038,0.44681436819131054,0.26611803848389964,1.6790081977789084,0.23791476048836702,2.1330595389739075,28.758050854104496
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,2,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.0002081624827563,0.4182144250541415,0.38295209593380863,0.25586260628069524,1.4967099002880058,0.23970420648910118,1.7447104128026925,16.651996156452842
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,3,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.707409910364257,0.6519892739622903,0.5582177895872193,0.3304532629121279,1.6892488355778688,0.26304518378342345,2.4786208383845625,28.22014570475909
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,4,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.9820673000092683,0.41171708890687997,0.38097386704628466,0.26550620422235144,1.4348962886277166,0.2827588119047514,1.4560716468336583,37.94439804664063
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,5,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.4649544052023358,0.5756932725317956,0.4982047143184037,0.29059493833396327,1.7144301176569257,0.2538885141051307,2.267504201838021,26.380457725635978
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,6,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.515595789632179,0.5919264294084621,0.5118374445837711,0.30204460434000396,1.6945756925609856,0.2572567702156887,2.3009168190682807,22.233945372505353
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,7,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.755762508115603,0.6667937403843645,0.5716509107822436,0.3446660923144608,1.6585644005291071,0.2862533503924872,2.3293831826600853,25.92829436336112
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,8,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.754578892268902,0.6664328896043992,0.579558268696813,0.3682437804876108,1.5738440115115853,0.33718000333437204,1.9764899549618788,19.99304266493599
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,9,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.556583815124185,0.6049468611783786,0.5219097874196947,0.3082426507246166,1.6931783651379508,0.24187503634538787,2.5010719184535386,16.063669094839707
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,10,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.330281920891667,0.5317005445371124,0.4633649603169287,0.26724612741392395,1.7338509814933492,0.24244479526180274,2.193078815995857,14.690726828749774
