dataset,method,seed,protocol_id,split_protocol_id,accounting_protocol_id,fee,target,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover,mean_horizon,total_holding_sessions,n_decisions
DJIA30_2026,DeepAries native 1/5/20-day,1,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.3133921019569867,0.16493277505956083,0.16691649123891217,0.1705693056764631,0.978584573449108,0.1392828096242128,1.1841574384129099,25.261307390807044,10.0,450.0,45
DJIA30_2026,DeepAries native 1/5/20-day,2,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.3049386860065708,0.15516063343169662,0.1517548747588872,0.11849431367079734,1.2806933097270374,0.08912951001823888,1.7408446809585911,13.53116171010825,19.375,465.0,24
DJIA30_2026,DeepAries native 1/5/20-day,3,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.2592787207317486,0.1381332673314697,0.13569149891632992,0.11154351330136601,1.2164893762107114,0.058515549382294973,2.360624975577254,27.558101927041058,6.602941176470588,449.0,68
DJIA30_2026,DeepAries native 1/5/20-day,4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.3465930512281985,0.17874563819306455,0.17484824651169759,0.14040840564644455,1.2452833269254142,0.14657906421603373,1.2194486241883937,15.151399613180937,11.4,456.0,40
DJIA30_2026,DeepAries native 1/5/20-day,5,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.3547856827928388,0.18097894235336542,0.17872428395917123,0.15216722565993687,1.1745254813187174,0.11644070368555348,1.5542584047078294,14.028802257354293,20.0,460.0,23
DJIA30_2026,DeepAries native 1/5/20-day,6,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.40138605877019,0.2006733420710214,0.1988591903360354,0.17367098222665597,1.1450340626075726,0.17172820110399656,1.1685520536577216,15.748777528833902,19.375,465.0,24
DJIA30_2026,DeepAries native 1/5/20-day,7,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.287526741920454,0.15312400016664518,0.1523228170434356,0.1405142987362595,1.0840378410836342,0.16217070602382255,0.9442149197041269,88.79586138918141,1.3423423423423424,447.0,333
DJIA30_2026,DeepAries native 1/5/20-day,8,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.2300239613639816,0.12380130061808181,0.12806806937339688,0.15086708947955238,0.848880095819403,0.185803812442368,0.6663011861313777,70.13466347287921,1.3839009287925697,447.0,323
DJIA30_2026,DeepAries native 1/5/20-day,9,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.3648517884383844,0.19027654632231772,0.18721340047079643,0.15980506381194032,1.17151106482527,0.11973393001720556,1.5891614540253987,23.899796546560392,8.823529411764707,450.0,51
DJIA30_2026,DeepAries native 1/5/20-day,10,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.2942783315764348,0.1554083479116375,0.15389243832892868,0.1359085579619579,1.1323233844626963,0.1405143626567238,1.105996176997932,31.19658151285917,5.0,450.0,90
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,1,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.5092308775704244,0.24989648571348044,0.237266423712848,0.16161927229159345,1.4680577405692805,0.12576277272612657,1.9870465662973231,24.597226044912784,19.375,465.0,24
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,2,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.4776314387839258,0.23849068793595452,0.23328497139808255,0.1888571911087056,1.2352453725937522,0.19380117073579528,1.2305946709738067,24.612119769359282,20.0,460.0,23
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,3,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.316550428753157,0.16770702233208,0.16569027841609715,0.14633821585611312,1.1322420288286958,0.1602198735730398,1.0467304622833011,132.2689512484782,1.143222506393862,447.0,391
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.287954344929029,0.15297267166864215,0.15740570125815925,0.17238634434275446,0.9130984351358521,0.13715973048090424,1.115288511666618,73.83261276422954,4.666666666666667,448.0,96
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,5,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.5804679911561008,0.28499073012554454,0.2638456050025798,0.14826430580286065,1.7795625425407624,0.12128870525628144,2.3496889469086417,15.493435278262385,20.0,460.0,23
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,6,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.5065792754982323,0.2517242177602683,0.2448890527578447,0.19392203300980618,1.26282222270979,0.20391550082012122,1.2344535689923852,25.910414419448927,20.0,460.0,23
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,7,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.172239053639648,0.09372579244171275,0.10835170123689339,0.1942969416887757,0.5576603537612591,0.23697343798548565,0.39551180604238584,218.56632652507452,1.044392523364486,447.0,428
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,8,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.4726702792821136,0.235076678562254,0.22228002609913886,0.14380092992595764,1.5457481826688444,0.10148248649273328,2.3164260818450364,36.31481941249661,10.744186046511627,462.0,43
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,9,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.2482705922746617,0.13222540119104553,0.13612080217328415,0.15427515716010554,0.882324832325525,0.14760626391631793,0.8957980351430599,36.54847554934767,8.823529411764707,450.0,51
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,10,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.2876144143192993,0.1485331680531503,0.14338622575893814,0.09813487651794504,1.461113834822204,0.08802136784060499,1.6874671650425173,40.6654900757386,3.59375,460.0,128
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,1,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.575064968314067,0.2971739422595583,0.2744553262093657,0.1576011191153794,1.7414554398464492,0.1037606454725285,2.8640332845485004,23.207520178830872,20.0,440.0,22
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,2,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",2.1558025832868655,0.5685934011619782,0.4959532795135075,0.2938641361594602,1.6876958379309925,0.24167898157505308,2.352680392214423,42.473328452812886,6.056338028169014,430.0,71
