dataset,seed,regime,n_decisions,mean_5d_return,positive_ratio,turnover
DJIA30_2026,1,Bull,85,0.00813509741441434,0.5411764705882353,24.89138105661879
DJIA30_2026,1,Bear,3,-0.017146796490894272,0.3333333333333333,0.6511241231223437
DJIA30_2026,1,High volatility,12,0.020541129505957722,0.8333333333333334,3.215545674363362
DJIA30_2026,10,Bull,85,0.00959125485587968,0.6235294117647059,11.545793308130305
DJIA30_2026,10,Bear,3,-0.021064884263380195,0.3333333333333333,0.7097257755215876
DJIA30_2026,10,High volatility,12,0.013942742608676312,0.5,2.435207745097877
DJIA30_2026,2,Bull,85,0.008380346739241753,0.5882352941176471,14.236240299759212
DJIA30_2026,2,Bear,3,-0.026284849200817417,0.3333333333333333,0.6674235328309241
DJIA30_2026,2,High volatility,12,0.010529221828096411,0.6666666666666666,1.7483323238627027
DJIA30_2026,3,Bull,85,0.01111783731449253,0.5647058823529412,23.543388024821287
DJIA30_2026,3,Bear,3,-0.029939313981257338,0.3333333333333333,1.400804315908231
DJIA30_2026,3,High volatility,12,0.021031395795968976,0.75,3.275953364029571
DJIA30_2026,4,Bull,85,0.00828023781599102,0.6235294117647059,28.59556308075029
DJIA30_2026,4,Bear,3,-0.027125100926633856,0.3333333333333333,2.0664178672901583
DJIA30_2026,4,High volatility,12,0.011121301522866953,0.6666666666666666,7.2824170986001775
DJIA30_2026,5,Bull,85,0.01017463153638388,0.6235294117647059,20.638746751129112
DJIA30_2026,5,Bear,3,-0.02484896840510235,0.3333333333333333,0.7353398050631006
DJIA30_2026,5,High volatility,12,0.01651705349342472,0.6666666666666666,5.006371169443764
DJIA30_2026,6,Bull,85,0.010259491968137984,0.611764705882353,18.540058920875563
DJIA30_2026,6,Bear,3,-0.02826448397840405,0.3333333333333333,0.7091964790951388
DJIA30_2026,6,High volatility,12,0.019023926660728552,0.75,2.984689972534644
DJIA30_2026,7,Bull,85,0.011343626667781406,0.611764705882353,21.335606155064212
DJIA30_2026,7,Bear,3,-0.02854497723655695,0.3333333333333333,0.8046370840543859
DJIA30_2026,7,High volatility,12,0.021304555211005615,0.75,3.788051124242524
DJIA30_2026,8,Bull,85,0.01120220756778946,0.5882352941176471,15.916752690007847
DJIA30_2026,8,Bear,3,-0.031683896739392016,0.3333333333333333,0.7998406629755774
DJIA30_2026,8,High volatility,12,0.02439843722927802,0.75,3.276449311952566
DJIA30_2026,9,Bull,85,0.009878855331131179,0.5647058823529412,12.074149652401685
DJIA30_2026,9,Bear,3,-0.019040649783936565,0.3333333333333333,0.5789305661766351
DJIA30_2026,9,High volatility,12,0.021079544892087864,0.6666666666666666,3.4105888762613836
SP500_TOP50_EX_PLTR_2026,1,Bull,82,0.0051473955809569465,0.524390243902439,37.82661149029103
SP500_TOP50_EX_PLTR_2026,1,Bear,5,-0.018755826743138138,0.2,2.5113449883080294
SP500_TOP50_EX_PLTR_2026,1,High volatility,12,0.01700399862062769,0.5833333333333334,7.299181858201467
SP500_TOP50_EX_PLTR_2026,10,Bull,82,0.008035015765756057,0.5853658536585366,36.18689730810774
SP500_TOP50_EX_PLTR_2026,10,Bear,5,0.002696868432825639,0.4,1.6103702351097942
SP500_TOP50_EX_PLTR_2026,10,High volatility,12,0.016699084552082438,0.75,7.932356970268804
SP500_TOP50_EX_PLTR_2026,2,Bull,82,0.008255887116958325,0.6219512195121951,32.52807045807895
SP500_TOP50_EX_PLTR_2026,2,Bear,5,-0.033177822714375235,0.2,3.0676900602399204
SP500_TOP50_EX_PLTR_2026,2,High volatility,12,0.01387317505996962,0.5833333333333334,6.743530927935107
SP500_TOP50_EX_PLTR_2026,3,Bull,82,0.010089357523947686,0.573170731707317,35.71227537656801
SP500_TOP50_EX_PLTR_2026,3,Bear,5,-0.018426485092861867,0.4,2.0840928915657226
SP500_TOP50_EX_PLTR_2026,3,High volatility,12,0.020210691662419983,0.5833333333333334,5.4985381520655565
SP500_TOP50_EX_PLTR_2026,4,Bull,82,0.010046044250300068,0.5365853658536586,13.883970052092181
SP500_TOP50_EX_PLTR_2026,4,Bear,5,-0.019895475502289362,0.2,0.6914033475736671
SP500_TOP50_EX_PLTR_2026,4,High volatility,12,0.027376819171196914,0.6666666666666666,3.0004715342376804
SP500_TOP50_EX_PLTR_2026,5,Bull,82,0.006042325898662122,0.5,40.608792487220086
SP500_TOP50_EX_PLTR_2026,5,Bear,5,-0.006717536417385106,0.2,1.629681878731097
SP500_TOP50_EX_PLTR_2026,5,High volatility,12,0.03155630382372574,0.6666666666666666,8.41800049043823
SP500_TOP50_EX_PLTR_2026,6,Bull,82,0.008038522603110384,0.5487804878048781,20.024236677982586
SP500_TOP50_EX_PLTR_2026,6,Bear,5,-0.024413923315465345,0.2,1.8537784795030627
SP500_TOP50_EX_PLTR_2026,6,High volatility,12,0.021977770483959453,0.6666666666666666,4.845133073848695
SP500_TOP50_EX_PLTR_2026,7,Bull,82,0.01181326967414089,0.6097560975609756,25.757185315082353
SP500_TOP50_EX_PLTR_2026,7,Bear,5,-0.023540748613802377,0.4,1.2068481096657153
SP500_TOP50_EX_PLTR_2026,7,High volatility,12,0.02146804283923868,0.5833333333333334,4.552706674042348
SP500_TOP50_EX_PLTR_2026,8,Bull,82,0.009086871445391494,0.5853658536585366,40.093401685412516
SP500_TOP50_EX_PLTR_2026,8,Bear,5,-0.01725180306391556,0.2,2.3582884869680267
SP500_TOP50_EX_PLTR_2026,8,High volatility,12,0.008759436979471097,0.5833333333333334,5.983691474603592
SP500_TOP50_EX_PLTR_2026,9,Bull,82,0.006744232397062223,0.6951219512195121,26.189857381040003
SP500_TOP50_EX_PLTR_2026,9,Bear,5,-0.010797667905153508,0.4,1.6587711533524676
SP500_TOP50_EX_PLTR_2026,9,High volatility,12,0.01428736171495848,0.6666666666666666,5.554591424483641
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,1,Bull,62,0.012902120693714872,0.6290322580645161,25.17018770712083
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,1,Bear,9,-0.008461442274305366,0.4444444444444444,3.458727724562096
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,1,High volatility,25,0.00505623721489171,0.56,11.683274286653598
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,10,Bull,62,0.018169910340568796,0.6612903225806451,39.56438179575974
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,10,Bear,9,-0.010711100881979907,0.3333333333333333,3.9485470806337037
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,10,High volatility,25,0.002679615271972806,0.56,18.8837214906599
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,2,Bull,62,0.015323312734865974,0.6612903225806451,20.85661558793031
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,2,Bear,9,-0.010631745101034089,0.2222222222222222,2.32885197024798
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,2,High volatility,25,0.012947349319468398,0.72,11.216366938330687
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,3,Bull,62,0.01710160363050106,0.6935483870967742,34.32471924990061
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,3,Bear,9,-0.017757190743771703,0.3333333333333333,4.333399337978591
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,3,High volatility,25,0.007798502223233439,0.56,18.370770230651615
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,4,Bull,62,0.013699675579633249,0.5806451612903226,25.392396075602424
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,4,Bear,9,-0.015696766064713732,0.2222222222222222,3.084497674462233
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,4,High volatility,25,0.010067649287605117,0.6,13.758292149133295
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,5,Bull,62,0.016815000869569836,0.6774193548387096,48.92000243173631
