dataset,method,seed,fee,fee_bps,protocol_id,accounting_protocol_id,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover
DJIA30_2026,Proposed Feedback + Reliability-policy,1,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.2904667883706256,0.5184541940596799,0.45412522379748704,0.2661511918252309,1.7062678573150631,0.23708157512850592,2.1868177389097436,28.758050854104496
DJIA30_2026,Proposed Feedback + Reliability-policy,1,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.257757832073851,0.5074863493224038,0.44681436819131054,0.26611803848389964,1.6790081977789084,0.23791476048836702,2.1330595389739075,28.758050854104496
DJIA30_2026,Proposed Feedback + Reliability-policy,1,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.1937152367151707,0.4857811591476555,0.43219265697895726,0.2660568835585133,1.6244370421782606,0.23957875014260033,2.0276471050062344,28.758050854104496
DJIA30_2026,Proposed Feedback + Reliability-policy,1,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.0121405106029324,0.42247219376438716,0.3883275233418983,0.26591467249905326,1.4603463573198687,0.2445517173416113,1.727537219353242,28.758050854104496
DJIA30_2026,Proposed Feedback + Reliability-policy,2,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.016935044999075,0.42417947884349183,0.38719152001953866,0.2559267848338338,1.512899559422557,0.23921442496922085,1.7732186464009017,16.651996156452842
DJIA30_2026,Proposed Feedback + Reliability-policy,2,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.0002081624827563,0.4182144250541415,0.38295209593380863,0.25586260628069524,1.4967099002880058,0.23970420648910118,1.7447104128026925,16.651996156452842
DJIA30_2026,Proposed Feedback + Reliability-policy,2,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.9671623187081786,0.4063566114783874,0.374473247762351,0.25573739434344833,1.4642881958023068,0.2406829876786566,1.688347877835582,16.651996156452842
DJIA30_2026,Proposed Feedback + Reliability-policy,2,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.871210596117359,0.3713547802476831,0.34903670324797786,0.25538697423478857,1.3666973591499343,0.24361308444479612,1.5243630328560362,16.651996156452842
DJIA30_2026,Proposed Feedback + Reliability-policy,3,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.745894681484196,0.6637829653303868,0.5653870355853061,0.33043823993356863,1.7110218106081536,0.26171499541949805,2.536281745210746,28.22014570475909
DJIA30_2026,Proposed Feedback + Reliability-policy,3,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.707409910364257,0.6519892739622903,0.5582177895872193,0.3304532629121279,1.6892488355778688,0.26304518378342345,2.4786208383845625,28.22014570475909
