dataset,method,fee,fee_bps,n,seed_scope,APV_mean,APV_std,GARR_mean,GARR_std,ARR_mean,ARR_std,AVol_mean,AVol_std,ASR_mean,ASR_std,MDD_mean,MDD_std,Calmar_mean,Calmar_std,Turnover_mean,Turnover_std
DJIA30_2026,Buy-and-Hold Equal Weight,0.0005,5,1,deterministic,1.4712738680308577,0.0,0.2148356687899391,0.0,0.2045672277860449,0.0,0.13828327785319144,0.0,1.4793345295388778,0.0,0.15206653127006964,0.0,1.4127741784837038,0.0,1.0000000000000113,0.0
DJIA30_2026,Buy-and-Hold Equal Weight,0.001,10,1,deterministic,1.4705378630943748,0.0,0.21452933904688032,0.0,0.2043123819109962,0.0,0.13827121762825983,0.0,1.4776204723985804,0.0,0.15206653127006986,0.0,1.4107597329610724,0.0,1.0000000000000113,0.0
DJIA30_2026,Buy-and-Hold Equal Weight,0.002,20,1,deterministic,1.4690658532214067,0.0,0.2139164513379821,0.0,0.20380269016089886,0.0,0.13824989033350402,0.0,1.4741616768683146,0.0,0.15206653127006986,0.0,1.4067293411070638,0.0,1.0000000000000113,0.0
DJIA30_2026,Buy-and-Hold Equal Weight,0.005,50,1,deterministic,1.4646498236025038,0.0,0.21207595831735904,0.0,0.20227361491060716,0.0,0.1382082675133254,0.0,1.463542077112752,0.0,0.15206653127006986,0.0,1.3946261320363291,0.0,1.0000000000000113,0.0
DJIA30_2026,FinGAT,0.0005,5,10,001-010,1.3450863036209177,0.1547630705979594,0.15940929162799553,0.06762118354786821,0.16267023334119787,0.061041240222738435,0.1780065371645281,0.019431111081831327,0.9044686912239353,0.3033327242681823,0.19343955001644858,0.03177740952490894,0.8345184516715911,0.35998175150103073,126.59060519133473,14.350303852561163
DJIA30_2026,FinGAT,0.001,10,10,001-010,1.262410514903979,0.1437479487971538,0.12295165606777496,0.06502745893980051,0.13064590254478237,0.06071713546334834,0.17791214134574657,0.019395626952060617,0.7234772408611763,0.310240687767184,0.20492919617947608,0.030838627814825825,0.6047401180559822,0.3250157190461276,126.59060519133473,14.350303852561163
DJIA30_2026,FinGAT,0.002,20,10,001-010,1.1120016144149676,0.12556929795110333,0.05340656010847204,0.06085915707082819,0.06659724095195113,0.060725870515071396,0.17775554854498754,0.01932586247306339,0.36081268832742747,0.3297499826206767,0.23463554560445013,0.028375239971505574,0.23522808165988307,0.2668588311408977,126.59060519133473,14.350303852561163
DJIA30_2026,FinGAT,0.005,50,10,001-010,0.7600670850572115,0.09227609461032842,-0.1306552627239139,0.054592773587545634,-0.12554874382654183,0.06580805250898451,0.177544176418643,0.019126681063411054,-0.7302898185225202,0.42403271524648656,0.356388753448572,0.04946056541534916,-0.35727236222356434,0.10448710131932834,126.59060519133473,14.350303852561163
DJIA30_2026,Proposed Feedback + Reliability-policy,0.0005,5,10,001-010,2.4613422039033734,0.2884929722846144,0.5720198686111552,0.09440680061054564,0.4975807292195231,0.07179943642430477,0.29995269471534997,0.0381468729767352,1.6569552894552537,0.09781215619403813,0.2630341945378321,0.030513110971230457,2.182651729548156,0.3276760528000527,23.686472681198495,7.196546630556922
DJIA30_2026,Proposed Feedback + Reliability-policy,0.001,10,10,001-010,2.4325200536165004,0.28633956523949183,0.5626900874890228,0.09431497671292138,0.4915484206876478,0.07211106163801427,0.29989783055136543,0.03815011584922207,1.6368306791162404,0.10073164134034537,0.2642321432320512,0.03086776411052311,2.1380907329972483,0.3294154754250423,23.686472681198495,7.196546630556922
