sample_index,input_start_date,normalization_basis_date,information_end_date,input_end_date,execution_date,target_end_date
0,2009-01-09,2009-01-08,2009-01-30,2009-01-30,2009-02-02,2009-02-09
1,2009-01-16,2009-01-15,2009-02-06,2009-02-06,2009-02-09,2009-02-17
2,2009-01-26,2009-01-23,2009-02-13,2009-02-13,2009-02-17,2009-02-24
3,2009-02-02,2009-01-30,2009-02-23,2009-02-23,2009-02-24,2009-03-03
4,2009-02-09,2009-02-06,2009-03-02,2009-03-02,2009-03-03,2009-03-10
5,2009-02-17,2009-02-13,2009-03-09,2009-03-09,2009-03-10,2009-03-17
6,2009-02-24,2009-02-23,2009-03-16,2009-03-16,2009-03-17,2009-03-24
7,2009-03-03,2009-03-02,2009-03-23,2009-03-23,2009-03-24,2009-03-31
8,2009-03-10,2009-03-09,2009-03-30,2009-03-30,2009-03-31,2009-04-07
9,2009-03-17,2009-03-16,2009-04-06,2009-04-06,2009-04-07,2009-04-15
10,2009-03-24,2009-03-23,2009-04-14,2009-04-14,2009-04-15,2009-04-22
11,2009-03-31,2009-03-30,2009-04-21,2009-04-21,2009-04-22,2009-04-29
12,2009-04-07,2009-04-06,2009-04-28,2009-04-28,2009-04-29,2009-05-06
13,2009-04-15,2009-04-14,2009-05-05,2009-05-05,2009-05-06,2009-05-13
14,2009-04-22,2009-04-21,2009-05-12,2009-05-12,2009-05-13,2009-05-20
15,2009-04-29,2009-04-28,2009-05-19,2009-05-19,2009-05-20,2009-05-28
16,2009-05-06,2009-05-05,2009-05-27,2009-05-27,2009-05-28,2009-06-04
17,2009-05-13,2009-05-12,2009-06-03,2009-06-03,2009-06-04,2009-06-11
18,2009-05-20,2009-05-19,2009-06-10,2009-06-10,2009-06-11,2009-06-18
19,2009-05-28,2009-05-27,2009-06-17,2009-06-17,2009-06-18,2009-06-25
20,2009-06-04,2009-06-03,2009-06-24,2009-06-24,2009-06-25,2009-07-02
21,2009-06-11,2009-06-10,2009-07-01,2009-07-01,2009-07-02,2009-07-10
22,2009-06-18,2009-06-17,2009-07-09,2009-07-09,2009-07-10,2009-07-17
23,2009-06-25,2009-06-24,2009-07-16,2009-07-16,2009-07-17,2009-07-24
24,2009-07-02,2009-07-01,2009-07-23,2009-07-23,2009-07-24,2009-07-31
25,2009-07-10,2009-07-09,2009-07-30,2009-07-30,2009-07-31,2009-08-07
26,2009-07-17,2009-07-16,2009-08-06,2009-08-06,2009-08-07,2009-08-14
27,2009-07-24,2009-07-23,2009-08-13,2009-08-13,2009-08-14,2009-08-21
28,2009-07-31,2009-07-30,2009-08-20,2009-08-20,2009-08-21,2009-08-28
29,2009-08-07,2009-08-06,2009-08-27,2009-08-27,2009-08-28,2009-09-04
30,2009-08-14,2009-08-13,2009-09-03,2009-09-03,2009-09-04,2009-09-14
31,2009-08-21,2009-08-20,2009-09-11,2009-09-11,2009-09-14,2009-09-21
32,2009-08-28,2009-08-27,2009-09-18,2009-09-18,2009-09-21,2009-09-28
33,2009-09-04,2009-09-03,2009-09-25,2009-09-25,2009-09-28,2009-10-05
34,2009-09-14,2009-09-11,2009-10-02,2009-10-02,2009-10-05,2009-10-12
35,2009-09-21,2009-09-18,2009-10-09,2009-10-09,2009-10-12,2009-10-19
36,2009-09-28,2009-09-25,2009-10-16,2009-10-16,2009-10-19,2009-10-26
37,2009-10-05,2009-10-02,2009-10-23,2009-10-23,2009-10-26,2009-11-02
38,2009-10-12,2009-10-09,2009-10-30,2009-10-30,2009-11-02,2009-11-09
39,2009-10-19,2009-10-16,2009-11-06,2009-11-06,2009-11-09,2009-11-16
40,2009-10-26,2009-10-23,2009-11-13,2009-11-13,2009-11-16,2009-11-23
41,2009-11-02,2009-10-30,2009-11-20,2009-11-20,2009-11-23,2009-12-01
42,2009-11-09,2009-11-06,2009-11-30,2009-11-30,2009-12-01,2009-12-08
