sample_index,input_start_date,normalization_basis_date,information_end_date,input_end_date,execution_date,target_end_date
0,2013-01-09,2013-01-08,2013-01-30,2013-01-30,2013-01-31,2013-02-07
1,2013-01-16,2013-01-15,2013-02-06,2013-02-06,2013-02-07,2013-02-14
2,2013-01-24,2013-01-23,2013-02-13,2013-02-13,2013-02-14,2013-02-22
3,2013-01-31,2013-01-30,2013-02-21,2013-02-21,2013-02-22,2013-03-01
4,2013-02-07,2013-02-06,2013-02-28,2013-02-28,2013-03-01,2013-03-08
5,2013-02-14,2013-02-13,2013-03-07,2013-03-07,2013-03-08,2013-03-15
6,2013-02-22,2013-02-21,2013-03-14,2013-03-14,2013-03-15,2013-03-22
7,2013-03-01,2013-02-28,2013-03-21,2013-03-21,2013-03-22,2013-04-01
8,2013-03-08,2013-03-07,2013-03-28,2013-03-28,2013-04-01,2013-04-08
9,2013-03-15,2013-03-14,2013-04-05,2013-04-05,2013-04-08,2013-04-15
10,2013-03-22,2013-03-21,2013-04-12,2013-04-12,2013-04-15,2013-04-22
11,2013-04-01,2013-03-28,2013-04-19,2013-04-19,2013-04-22,2013-04-29
12,2013-04-08,2013-04-05,2013-04-26,2013-04-26,2013-04-29,2013-05-06
13,2013-04-15,2013-04-12,2013-05-03,2013-05-03,2013-05-06,2013-05-13
14,2013-04-22,2013-04-19,2013-05-10,2013-05-10,2013-05-13,2013-05-20
15,2013-04-29,2013-04-26,2013-05-17,2013-05-17,2013-05-20,2013-05-28
16,2013-05-06,2013-05-03,2013-05-24,2013-05-24,2013-05-28,2013-06-04
17,2013-05-13,2013-05-10,2013-06-03,2013-06-03,2013-06-04,2013-06-11
18,2013-05-20,2013-05-17,2013-06-10,2013-06-10,2013-06-11,2013-06-18
19,2013-05-28,2013-05-24,2013-06-17,2013-06-17,2013-06-18,2013-06-25
20,2013-06-04,2013-06-03,2013-06-24,2013-06-24,2013-06-25,2013-07-02
21,2013-06-11,2013-06-10,2013-07-01,2013-07-01,2013-07-02,2013-07-10
22,2013-06-18,2013-06-17,2013-07-09,2013-07-09,2013-07-10,2013-07-17
23,2013-06-25,2013-06-24,2013-07-16,2013-07-16,2013-07-17,2013-07-24
24,2013-07-02,2013-07-01,2013-07-23,2013-07-23,2013-07-24,2013-07-31
25,2013-07-10,2013-07-09,2013-07-30,2013-07-30,2013-07-31,2013-08-07
26,2013-07-17,2013-07-16,2013-08-06,2013-08-06,2013-08-07,2013-08-14
27,2013-07-24,2013-07-23,2013-08-13,2013-08-13,2013-08-14,2013-08-21
28,2013-07-31,2013-07-30,2013-08-20,2013-08-20,2013-08-21,2013-08-28
29,2013-08-07,2013-08-06,2013-08-27,2013-08-27,2013-08-28,2013-09-05
30,2013-08-14,2013-08-13,2013-09-04,2013-09-04,2013-09-05,2013-09-12
31,2013-08-21,2013-08-20,2013-09-11,2013-09-11,2013-09-12,2013-09-19
32,2013-08-28,2013-08-27,2013-09-18,2013-09-18,2013-09-19,2013-09-26
33,2013-09-05,2013-09-04,2013-09-25,2013-09-25,2013-09-26,2013-10-03
34,2013-09-12,2013-09-11,2013-10-02,2013-10-02,2013-10-03,2013-10-10
35,2013-09-19,2013-09-18,2013-10-09,2013-10-09,2013-10-10,2013-10-17
36,2013-09-26,2013-09-25,2013-10-16,2013-10-16,2013-10-17,2013-10-24
37,2013-10-03,2013-10-02,2013-10-23,2013-10-23,2013-10-24,2013-10-31
38,2013-10-10,2013-10-09,2013-10-30,2013-10-30,2013-10-31,2013-11-07
39,2013-10-17,2013-10-16,2013-11-06,2013-11-06,2013-11-07,2013-11-14
40,2013-10-24,2013-10-23,2013-11-13,2013-11-13,2013-11-14,2013-11-21
41,2013-10-31,2013-10-30,2013-11-20,2013-11-20,2013-11-21,2013-11-29
