sample_index,input_start_date,normalization_basis_date,information_end_date,input_end_date,execution_date,target_end_date
0,2009-01-09,2009-01-08,2009-02-09,2009-02-09,2009-02-10,2009-02-17
1,2009-01-16,2009-01-15,2009-02-16,2009-02-16,2009-02-17,2009-02-24
2,2009-02-03,2009-02-02,2009-02-23,2009-02-23,2009-02-24,2009-03-03
3,2009-02-10,2009-02-09,2009-03-02,2009-03-02,2009-03-03,2009-03-10
4,2009-02-17,2009-02-16,2009-03-09,2009-03-09,2009-03-10,2009-03-17
5,2009-02-24,2009-02-23,2009-03-16,2009-03-16,2009-03-17,2009-03-24
6,2009-03-03,2009-03-02,2009-03-23,2009-03-23,2009-03-24,2009-03-31
7,2009-03-10,2009-03-09,2009-03-30,2009-03-30,2009-03-31,2009-04-08
8,2009-03-17,2009-03-16,2009-04-07,2009-04-07,2009-04-08,2009-04-15
9,2009-03-24,2009-03-23,2009-04-14,2009-04-14,2009-04-15,2009-04-22
10,2009-03-31,2009-03-30,2009-04-21,2009-04-21,2009-04-22,2009-04-29
11,2009-04-08,2009-04-07,2009-04-28,2009-04-28,2009-04-29,2009-05-07
12,2009-04-15,2009-04-14,2009-05-06,2009-05-06,2009-05-07,2009-05-14
13,2009-04-22,2009-04-21,2009-05-13,2009-05-13,2009-05-14,2009-05-21
14,2009-04-29,2009-04-28,2009-05-20,2009-05-20,2009-05-21,2009-06-01
15,2009-05-07,2009-05-06,2009-05-27,2009-05-27,2009-06-01,2009-06-08
16,2009-05-14,2009-05-13,2009-06-05,2009-06-05,2009-06-08,2009-06-15
17,2009-05-21,2009-05-20,2009-06-12,2009-06-12,2009-06-15,2009-06-22
18,2009-06-01,2009-05-27,2009-06-19,2009-06-19,2009-06-22,2009-06-29
19,2009-06-08,2009-06-05,2009-06-26,2009-06-26,2009-06-29,2009-07-06
20,2009-06-15,2009-06-12,2009-07-03,2009-07-03,2009-07-06,2009-07-13
21,2009-06-22,2009-06-19,2009-07-10,2009-07-10,2009-07-13,2009-07-20
22,2009-06-29,2009-06-26,2009-07-17,2009-07-17,2009-07-20,2009-07-27
23,2009-07-06,2009-07-03,2009-07-24,2009-07-24,2009-07-27,2009-08-03
24,2009-07-13,2009-07-10,2009-07-31,2009-07-31,2009-08-03,2009-08-10
25,2009-07-20,2009-07-17,2009-08-07,2009-08-07,2009-08-10,2009-08-17
26,2009-07-27,2009-07-24,2009-08-14,2009-08-14,2009-08-17,2009-08-24
27,2009-08-03,2009-07-31,2009-08-21,2009-08-21,2009-08-24,2009-08-31
28,2009-08-10,2009-08-07,2009-08-28,2009-08-28,2009-08-31,2009-09-07
29,2009-08-17,2009-08-14,2009-09-04,2009-09-04,2009-09-07,2009-09-14
