Ticker,index,order
1216.TW,0,0
2207.TW,0,1
2880.TW,1,2
2881.TW,1,3
2882.TW,1,4
2883.TW,1,5
2884.TW,1,6
2885.TW,1,7
2886.TW,1,8
2887.TW,1,9
2890.TW,1,10
2891.TW,1,11
2892.TW,1,12
5880.TW,1,13
1301.TW,3,14
1303.TW,3,15
2002.TW,3,16
2059.TW,3,17
2603.TW,3,18
6505.TW,3,19
2301.TW,4,20
2303.TW,4,21
2308.TW,4,22
2317.TW,4,23
2327.TW,4,24
2330.TW,4,25
2344.TW,4,26
2345.TW,4,27
2357.TW,4,28
2360.TW,4,29
2368.TW,4,30
2382.TW,4,31
2383.TW,4,32
2395.TW,4,33
2408.TW,4,34
2412.TW,4,35
2449.TW,4,36
2454.TW,4,37
3008.TW,4,38
3017.TW,4,39
3045.TW,4,40
3231.TW,4,41
3711.TW,4,42
4904.TW,4,43
